model,epoch_d,rank,line,species,L_line,EW,tau,frac_epoch
A1,80.0,9,He_I_6678,He,7.822981782179712e+38,3.6824643607002865,0.0003642594804231172,0.004722435464392343
A1,80.0,10,O_I_6300,metal,1.9632692324149913e+38,-2.0075405710563587,0.0,0.0011851506890156148
A1,80.0,11,O_I_7774,metal,1.5076162226903407e+38,-2.082021858739724,0.0,0.0009100903613177473
A1,80.0,12,C_II_4267,metal,3.93730440273289e+29,-3.627810426026602e-09,0.0,2.3768003637601684e-12
A1,80.0,13,C_II_6580,metal,7.295040332809919e+28,-7.845034383496974e-10,0.0,4.4037373652473473e-13
A1,80.0,14,C_III_1909,metal,4.210662943812114e+28,-7.570397511428227e-09,0.0,2.541816479715815e-13
A1,80.0,15,O_III_5007,metal,4.214045512835462e+19,-0.0,0.0,2.543858407507722e-22
A1,80.0,16,He_II_1640,He,402551175.6897424,-0.0,2.2485180699198962e-30,2.4300477762078997e-33
A1,80.0,17,Ne_III_3869,metal,199991217.50955456,-0.0,0.0,1.2072706346901055e-33
A1,80.0,18,He_II_4686,He,469285.1001611617,-0.0,7.925073967193435e-30,2.8328950029773597e-36
A1,80.0,19,He_II_3203,He,63192.3264651416,-0.0,1e-30,3.814679515887796e-37
A1,80.0,20,He_II_10124,He,12457.49980523249,-0.0,1.9955952970726178e-29,7.520117075039247e-38
A1,80.0,21,C_III_4647,metal,0.5069974262831294,-0.0,0.0,3.0605499193275395e-42
A1,80.0,22,C_III_5696,metal,0.16546791239039463,-0.0,0.0,9.988666207447572e-43
A1,80.0,23,C_IV_1549,metal,0.007984826548053915,-0.0,0.0,4.82013497122638e-44
A1,80.0,24,C_IV_5801,metal,1.5960950340488513e-42,-0.0,0.0,9.635016421107712e-84
A1,90.0,1,Halpha,H,9.342826464175137e+40,-21.62260284701867,4692.284408134263,0.6138103498784323
A1,90.0,2,Hbeta,H,3.1416416701812063e+40,-123.57653241805748,678.2726280101068,0.20640136902476885
A1,90.0,3,Hgamma,H,1.4849794447208524e+40,8.870944809996878,226.71616153373742,0.09756102781331721
A1,90.0,4,Palpha,H,3.7966362323787584e+39,601.0884429711032,1898.9091588059468,0.024943357591982067
A1,90.0,5,Pbeta,H,2.842315808612775e+39,275.8637064754281,232.13110950197097,0.018673608758970336
A1,90.0,6,He_I_10830,He,2.5494074182649468e+39,6.9713572337210366,13376.868221742243,0.01674924248446946
A1,90.0,7,He_I_5876,He,1.1566753541735628e+39,6.032051879868507,17.750865928430652,0.007599191813777493
A1,90.0,8,He_I_7065,He,1.0145421951852514e+39,6.57114287137712,2.414245136910633,0.006665397266886647
A1,90.0,9,He_I_6678,He,7.314619908808513e+38,3.2919119789629345,0.0010196335961412653,0.004805600770462236
A1,90.0,10,O_I_6300,metal,2.390378073139545e+38,-2.6497536729581537,0.0,0.001570444240874656
A1,90.0,11,O_I_7774,metal,1.8575903977922458e+38,-2.7812059748202143,0.0,0.0012204103505205604
A1,90.0,12,C_II_4267,metal,6.56881554945764e+29,-6.559887982392649e-09,0.0,4.315617962251705e-12
A1,90.0,13,C_II_6580,metal,1.2170706013693332e+29,-1.418878008157052e-09,0.0,7.995979958718204e-13
A1,90.0,14,C_III_1909,metal,6.437884076383857e+28,-1.2534758854969545e-08,0.0,4.229597855161326e-13
A1,90.0,15,O_III_5007,metal,3.8966446609526145e+19,-0.0,0.0,2.5600398678735577e-22
A1,90.0,16,He_II_1640,He,386172107.69894046,-0.0,2.5288671088216577e-30,2.5370955721899504e-33
A1,90.0,17,Ne_III_3869,metal,187264852.70453477,-0.0,0.0,1.2303033262927238e-33
A1,90.0,18,He_II_4686,He,446326.03157260065,-0.0,8.91618776747998e-30,2.9322982573841234e-36
A1,90.0,19,He_II_3203,He,59744.275478184245,-0.0,1e-30,3.925113537655267e-37
A1,90.0,20,He_II_10124,He,11777.763879982966,-0.0,2.245165464733278e-29,7.737822591138293e-38
A1,90.0,21,C_III_4647,metal,0.7553213467766422,-0.0,0.0,4.9623533297270986e-42
A1,90.0,22,C_III_5696,metal,0.2465129800584771,-0.0,0.0,1.6195550577704962e-42
A1,90.0,23,C_IV_1549,metal,0.011959976846492694,-0.0,0.0,7.857533906717778e-44
A1,90.0,24,C_IV_5801,metal,1.224936942169977e-42,-0.0,0.0,8.047660693853557e-84
A1,100.0,1,Halpha,H,6.580061166446181e+40,-17.700373208579965,5551.286359424201,0.6075119641887662
A1,100.0,2,Hbeta,H,2.2111262640558775e+40,-48.13288068969344,785.5507033777036,0.2041448591079661
A1,100.0,3,Hgamma,H,1.0452719152704645e+40,9.092451238176125,262.57441698705935,0.096505971341947
A1,100.0,4,Palpha,H,2.673880249577137e+39,536.8495890467861,1851.6469219361713,0.024686917056479022
A1,100.0,5,He_I_10830,He,2.336062820850634e+39,8.583629042414977,15692.296989133409,0.02156797751364681
A1,100.0,6,Pbeta,H,2.0015751153355624e+39,255.17025037804933,226.35356127757774,0.018479780035929386
A1,100.0,7,He_I_5876,He,9.772619136098866e+38,6.198922263817633,21.570374288137433,0.009022686714395156
A1,100.0,8,He_I_7065,He,8.564082877205184e+38,6.781335294969353,2.9337256596039305,0.00790689125617394
A1,100.0,9,He_I_6678,He,6.0265620689645695e+38,3.434982902815509,0.0013677784683282933,0.005564095024666099
